text,prediction,confidence,top_scam_words,active_clusters,n_clusters
you have an important customer service announcement from premier  call freephone 0800 542 0578 now,Scam,0.7812,"customer, 0800, customer service, freephone, 0800 542","AUTHORITY, OTHER",2
pne maujooda call rate ke saath payein isd offer  rs41 ke recharge par usa aur canada call karein rs,Scam,0.6802,"offer, ke, rate, 24","REWARD, CREDENTIAL, OTHER",3
this is the 2nd time we have tried to contact u  u have won the  1450 prize to claim just call 09053,Scam,0.8101,"claim, won, prize, cs","OTHER, REWARD",2
great  so should i send you my account number,Scam,0.6857,"account, account number, send account, number","FINANCIAL, OTHER",2
free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or  250 cash every wk  txt pod to 84128 ts ,Scam,0.7863,"free, win, cash, cs, entry","URGENCY, REWARD, FINANCIAL, OTHER",4
our mobile number has won  5000  to claim calls us back or ring the claims hot line on 09050005321,Scam,0.748,"claim, won, 5000, number","OTHER, REWARD",2
free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800  psp or  250 cash ever,Scam,0.8105,"free, win, cash, entry, chance","URGENCY, REWARD, FINANCIAL, OTHER",4
we tried to contact you re our offer of new video phone 750 anytime any network mins half price rent,Scam,0.8278,"offer, mins, video, tried, camcorder","REWARD, OTHER, IDENTITY",3
urgent ur awarded a complimentary trip to eurodisinc trav  aco entry41 or  1000  to claim txt dis to,Scam,0.8414,"urgent, claim, 1000, awarded, dis","URGENCY, OTHER",2
congrats  2 mobile 3g videophones r yours  call 09063458130 now  videochat wid your mates  play java,Scam,0.7575,"play, congrats, 3g videophones, congrats mobile",OTHER,1
forwarded from 448712404000 please call 08712404000 immediately as there is an urgent message waitin,Scam,0.8019,"urgent, immediately, immediately urgent, message waiting, urgent message","URGENCY, OTHER",2
today s offer  claim ur  150 worth of discount vouchers  text yes to 85023 now  savamob  member offe,Scam,0.852,"offer, claim, offers, 16, cs","REWARD, OTHER",2
hi 07734396839 ibh customer loyalty offer  the new nokia6600 mobile from only  10 at txtauction txt ,Scam,0.7766,"offer, customer, start","REWARD, AUTHORITY, OTHER",3
pay just rs  1999    take home lcd led plasma   hit a six   take home gift worth rs  5000  balance i,Scam,0.7244,"free, 5000, gift, rs 5000","URGENCY, OTHER, REWARD",3
todays voda numbers ending 5226 are selected to receive a  350 award  if you hava a match please cal,Scam,0.8517,"claim, selected, award, code, 350","OTHER, REWARD, CREDENTIAL",3
important message  this is a final contact attempt  you have important messages waiting out our cust,Scam,0.7109,"customer, important, contact, message, 04","AUTHORITY, OTHER",2
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed   free entry 2 100 wkly draw txt,Scam,0.8312,"free, entry, awarded, draw, free entry","URGENCY, OTHER, REWARD",3
i taught that ranjith sir called me  so only i sms like that  becaus hes verifying about project  pr,Scam,0.5799,"sir, called, today, pa",OTHER,1
as a sim subscriber  you are selected to receive a bonus  get it delivered to your door  txt the wor,Scam,0.716,"claim, selected, selected receive, bonus, receive","OTHER, REWARD",2
please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you h,Scam,0.8797,"won, prize, 5000, customer, cash","REWARD, OTHER, AUTHORITY, FINANCIAL",4
double your mins   txts on orange or 1 2 price linerental   motorola and sonyericsson with b tooth f,Scam,0.8597,"free, mins, double, double mins, price","URGENCY, OTHER",2
free entry in 2 a weekly comp for a chance to win an ipod  txt pod to 80182 to get entry  std txt ra,Scam,0.8073,"free, entry, win, chance, free entry","URGENCY, OTHER, REWARD",3
had your mobile 11 months or more  u r entitled to update to the latest colour mobiles with camera f,Scam,0.8604,"free, 11, update, camera","URGENCY, OTHER",2
private  your 2003 account statement for shows 800 un redeemed s  i  m  points  call 08719899230 ide,Scam,0.8558,"account, code, 11, shows, 800","FINANCIAL, CREDENTIAL, OTHER",3
please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you h,Scam,0.8797,"won, prize, 5000, customer, cash","REWARD, OTHER, AUTHORITY, FINANCIAL",4
congrats  2 mobile 3g videophones r yours  call 09061744553 now  videochat wid ur mates  play java g,Scam,0.7882,"play, congrats, 5we, bx420",OTHER,1
hello which the site to download songs its urgent pls,Scam,0.6,"urgent, site download, songs, songs urgent","URGENCY, OTHER",2
want a new video phone  750 anytime any network mins  half price line rental free text for 3 months ,Scam,0.8789,"free, mins, video, 08000930705, reply 08000930705","URGENCY, OTHER, IDENTITY",3
k  wen ur free come to my home and also tel vikky i hav sent mail to him also  better come evening i,Scam,0.7941,"free, come, wen, today, sent","URGENCY, OTHER",2
video   spanish gp sebastian vettel won the spanish gp on sunday  how many wins does he have this f1,Scam,0.7046,"video, won, win, 24","IDENTITY, REWARD, OTHER",3
urgent  your mobile no was awarded a  2 000 bonus caller prize on 1 08 03  this is our 2nd attempt t,Scam,0.8585,"urgent, prize, 000, bonus, awarded","URGENCY, REWARD, OTHER",3
if u r online go to dis link  skillineers com,Scam,0.6337,"link, dis, online",OTHER,1
urgent  your mobile number has been awarded with a  2000 prize guaranteed  call 09061790126 from lan,Scam,0.908,"urgent, claim, prize, awarded, valid","URGENCY, OTHER, REWARD, IDENTITY",4
now am free call me pa,Scam,0.908,"free, pa","URGENCY, OTHER",2
congrats  nokia 3650 video camera phone is your call 09066382422 calls cost 150ppm ave call 3mins va,Scam,0.7469,"video, 16, 150ppm, congrats, camera","IDENTITY, OTHER",2
a link to your picture has been sent  you can also use,Scam,0.7093,"link, picture, picture sent, sent use, use",OTHER,1
macha dont feel upset i can assume your mindset believe me one evening with me and i have some wonde,Spam,0.5556,"dont, anytime",OTHER,1
o solve all your credit card loan problems immediate relief free consulting legal help centre call 9,Scam,0.8234,"free, loan, help, credit, centre","URGENCY, FINANCIAL, AUTHORITY, OTHER",4
m s wondercool offer full service  repair  installation   amc for ac  w s   refrigerators  washing m,Scam,0.6579,"offer, service, repair","REWARD, OTHER",2
you have won a guaranteed  1000 cash or a  2000 prize to claim yr prize call our customer service re,Scam,0.9354,"prize, claim, won, customer, cash","REWARD, OTHER, AUTHORITY, FINANCIAL",4
i hope you that s the result of being consistently intelligent and kind  start asking him about prac,Scam,0.5265,"result, open, start",OTHER,1
urgent  please call 09061213237 from landline   5000 cash or a luxury 4  canary islands holiday awai,Scam,0.8344,"urgent, holiday, 5000, cash, 16","URGENCY, IDENTITY, OTHER, FINANCIAL",4
you are a winner you have been specially selected to receive  1000 cash or a  2000 award  speak to a,Scam,0.8949,"claim, selected, winner, award, cash","OTHER, REWARD, FINANCIAL",3
for your chance to win a free bluetooth headset then simply reply back with  adp,Scam,0.8077,"free, win, chance, bluetooth, chance win","URGENCY, REWARD, OTHER",3
urgent  please call 09061213237 from a landline   5000 cash or a 4  holiday await collection  t  cs ,Scam,0.8437,"urgent, holiday, 5000, cash, 16","URGENCY, IDENTITY, OTHER, FINANCIAL",4
need funds   take loan against property 11 resi comm od lmt 40 lkhs 40 crs  balance transfer top  up,Scam,0.7248,"40, loan, 11, loans, need","OTHER, FINANCIAL",2
last chance  claim ur  150 worth of discount vouchers today  text shop to 85023 now  savamob  offers,Scam,0.8252,"claim, savamob, offers, 16, cs","OTHER, REWARD",2
dear voucher holder  to claim this weeks offer  at you pc please go to  ts cs apply  to stop texts  ,Scam,0.792,"offer, claim, cs, dear voucher","REWARD, OTHER",2
njoy great offers on mcdonalds home delivery with mcsmiley booklet  just call 66000666 now and get y,Scam,0.5939,"offers, 250, delivery, home delivery","REWARD, OTHER",2
do you want a new nokia 3510i colour phone deliveredtomorrow  with 300 free minutes to any mobile   ,Scam,0.8938,"free, camcorder, 08000930705, reply 08000930705","URGENCY, OTHER",2
urgent  your mobile no 07808726822 was awarded a  2 000 bonus caller prize on 02 09 03  this is our ,Scam,0.8533,"urgent, prize, 000, bonus, awarded","URGENCY, REWARD, OTHER",3
you have won a guaranteed  1000 cash or a  2000 prize  to claim yr prize call our customer service r,Scam,0.9109,"prize, claim, won, customer, cash","REWARD, OTHER, AUTHORITY, FINANCIAL",4
if i sound rude in the following lines  i m sorry  but i can t keep quiet about something like this ,Scam,0.5282,"company, power, tanmay, family",OTHER,1
music  4 callertunes   mobileradio   3 ringtones   streaming music  a chance to attend live concerts,Scam,0.5667,"music, chance, tollfree, live",OTHER,1
we tried to contact you re your reply to our offer of a video phone 750 anytime any network mins hal,Scam,0.852,"offer, mins, video, tried, camcorder","REWARD, OTHER, IDENTITY",3
winter hair trends hey guys  get a new look with fall winter 2011 2012 hairstyle trends   1  fringe ,Scam,0.6927,"free, winter, aircel","URGENCY, OTHER",2
you have won a guaranteed  1000 cash or a  2000 prize  to claim yr prize call our customer service r,Scam,0.9178,"prize, claim, won, customer, cash","REWARD, OTHER, AUTHORITY, FINANCIAL",4
rc 58 with extra benefits  recharge with rs 58   get 12000 local secs free to any network  valid for,Scam,0.7047,"offer, free, valid, hurry, 58","REWARD, URGENCY, IDENTITY, OTHER",4
last chance  claim ur  150 worth of discount vouchers today  text shop to 85023 now  savamob  offers,Scam,0.8252,"claim, savamob, offers, 16, cs","OTHER, REWARD",2
this is the 2nd time we have tried 2 contact u  u have won the 750 pound prize  2 claim is easy  cal,Scam,0.8891,"claim, won, prize, easy, tried","OTHER, REWARD",2
free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or  250 cash every wk  txt vpod to 81303 ts,Scam,0.7836,"free, win, cash, cs, entry","URGENCY, REWARD, FINANCIAL, OTHER",4
you have won a guaranteed  1000 cash or a  2000 prize  to claim yr prize call our customer service r,Scam,0.9109,"prize, claim, won, customer, cash","REWARD, OTHER, AUTHORITY, FINANCIAL",4
new winter wear added   thomas scott  buy 1   take 3    1  free            orflat 60  off  m g marg ,Scam,0.7921,"free, winter, 60, mega","URGENCY, OTHER",2
449050000301 you have won a  2 000 price  to claim  call 09050000301,Scam,0.8177,"claim, won, 000, won 000, price","OTHER, REWARD",2
more than 60  units sold in first 3 days unitech offers 2 3 bhk in sec 70 grgn  5250 psf 1 5 yrs int,Scam,0.7324,"free, offers, 9212255555, agni","URGENCY, REWARD, OTHER",3
you have won  as a valued vodafone customer our computer has picked you to win a  150 prize  to coll,Scam,0.8133,"won, prize, win, customer, easy","REWARD, AUTHORITY, OTHER",3
urgent  your mobile number   won a  2000 bonus caller prize on 10 06 03  this is the 2nd attempt to ,Scam,0.8933,"urgent, won, prize, bonus, 2nd","URGENCY, REWARD, OTHER",3
rs224 ke recharge par full talktime  recharge par rs203 08 aur rs 20 92 ka talktime 48 ghante mein  ,Scam,0.7633,"talktime, offer, 11, ke, recharge par","OTHER, REWARD, CREDENTIAL",3
minimal documentation   quick approval   low rates  home loan  9 25  loan against properties 11 5 ca,Scam,0.5571,"loan, 11, 011, quick","FINANCIAL, OTHER",2
you have been selected to stay in 1 of 250 top british hotels   for nothing  holiday worth  350  to ,Scam,0.7508,"claim, selected, holiday, 350, 250","OTHER, REWARD, IDENTITY",3
urgent  we are trying to contact u  todays draw shows that you have won a  800 prize guaranteed  cal,Scam,0.913,"urgent, claim, won, prize, shows","URGENCY, OTHER, REWARD",3
u ve bin awarded  50 to play 4 instant cash  call 08715203028 to claim  every 9th player wins min  5,Scam,0.6804,"claim, cash, play, awarded","OTHER, FINANCIAL",2
indians r poor but india is not a poor country  says one of the swiss bank directors  he says that  ,Scam,0.6709,"bank, money, loan, free, power","OTHER, FINANCIAL, URGENCY",3
only 1 day left for sawan ki bahar compt  for agents dos clias  qualify the competition and win maxi,Scam,0.647,"win, prizes, competition, compt, agents","REWARD, OTHER",2
congrats 2 mobile 3g videophones r yours  call 09063458130 now  videochat wid ur mates  play java ga,Scam,0.7902,"play, congrats, 5we, bx420",OTHER,1
urgent  your 4  costa del sol holiday or  5000 await collection  call 09050090044 now toclaim  sae  ,Scam,0.8303,"urgent, holiday, 5000, collection, await","URGENCY, IDENTITY, OTHER",3
aiyar hard 2 type  u later free then tell me then i call n scold n tell u,Scam,0.6537,"free, aiyar, aiyar hard","URGENCY, OTHER",2
urgent  your mobile no 07808726822 was awarded a  2 000 bonus caller prize on 02 09 03  this is our ,Scam,0.8533,"urgent, prize, 000, bonus, awarded","URGENCY, REWARD, OTHER",3
do you want a new nokia 3510i colour phone delivered tomorrow  with 200 free minutes to any mobile  ,Scam,0.8843,"free, camcorder, 08000930705, reply 08000930705","URGENCY, OTHER",2
on t miss the fantastic offers at the mobilestore this month  2 assured gifts   rs 100 off on mobile,Scam,0.6833,"offers, hurry, today, month, 100","REWARD, OTHER",2
rs153 ke recharge par full talktime  recharge par rs136 71 aur rs 16 29 ka talktime 48 ghante mein  ,Scam,0.7809,"talktime, offer, 10, 16, ke","OTHER, REWARD, CREDENTIAL",3
double mins   1000 txts on orange tariffs  latest motorola  sonyericsson   nokia with bluetooth free,Scam,0.8413,"free, mins, 1000, double, double mins","URGENCY, OTHER",2
federer wins how many times has roger federer won the atp tour finals 1  4 2  5 3  6 4  i m not inte,Scam,0.8266,"free, won, video, aircel, blyk","URGENCY, REWARD, IDENTITY, OTHER",4
nightstore discount only from 10pm 10am offer  12mp webcam with hp refurbished pc 2 4ghz 512mb newtf,Scam,0.6852,"offer, pc, discount","REWARD, OTHER",2
rn  for more detail call me now 9910250794 and get wonderful kit and gift,Scam,0.6534,gift,REWARD,1
urgent  your mobile no 077xxx won a  2 000 bonus caller prize on 02 06 03  this is the 2nd attempt t,Scam,0.8869,"urgent, won, prize, 000, bonus","URGENCY, REWARD, OTHER",3
plot for sale in haridwar at the bank of ganga  ready possession   registry  rs 5000 p m installment,Spam,0.5192,"bank, 5000, rs 5000, plot",OTHER,1
r u looking part time income  if y   ur welcome in business opportunity  100  natural aloe vera   ho,Scam,0.7461,"free, welcome, honey, 100, business","URGENCY, OTHER",2
maac leader in 3d animation  vfx  multimedia  gaming announces free seminar next in bollywood  on 28,Scam,0.7389,"free, announces, animation, passes","URGENCY, OTHER",2
great news  call freefone 08006344447 to claim your guaranteed  1000 cash or  2000 gift  speak to a ,Scam,0.8352,"claim, cash, gift, 1000, 2000","OTHER, FINANCIAL, REWARD",3
todays vodafone numbers ending with 4882 are selected to a receive a  350 award  if your number matc,Scam,0.8346,"award, 350, receive, 350 award, selected","OTHER, REWARD",2
private  your 2003 account statement for 07808247860 shows 800 un redeemed s  i  m  points  call 087,Scam,0.8663,"account, code, 11, shows, 800","FINANCIAL, CREDENTIAL, OTHER",3
sir goodmorning  once free call me,Scam,0.8551,"free, sir, sir goodmorning","URGENCY, OTHER",2
oracle partner offers free  net  j2ee  testing with oracle oca  ocp  dba  9i  10g free project 100 p,Scam,0.8441,"free, offers, bank, placement, 100","URGENCY, REWARD, OTHER",3
you have been specially selected to receive a  3000 award  call 08712402050 before the lines close  ,Scam,0.7752,"selected, award, 16, cs, selected receive","REWARD, OTHER",2
congratulations ur awarded either  500 of cd gift vouchers   free entry 2 our  100 weekly draw txt m,Scam,0.8431,"free, gift, entry, awarded, draw","URGENCY, REWARD, OTHER",3
please call amanda with regard to renewing or upgrading your current t mobile handset free of charge,Scam,0.7842,"free, offer, today","URGENCY, REWARD, OTHER",3
urgent  your mobile no  was awarded a  2 000 bonus caller prize on 02 09 03  this is our 2nd attempt,Scam,0.8541,"urgent, prize, 000, bonus, awarded","URGENCY, REWARD, OTHER",3
non stop internet and downloading with pocket internet  dial  234 98  and get games at a special pri,Scam,0.6073,"click, play, price rs, price",OTHER,1
urgent  we are trying to contact u  todays draw shows that you have won a  2000 prize guaranteed  ca,Scam,0.9317,"urgent, claim, won, prize, shows","URGENCY, OTHER, REWARD",3
i m turning off my phone  my moms telling everyone i have cancer  and my sister won t stop calling  ,Scam,0.5537,"won, talk, hurts, phone","REWARD, OTHER",2
show ur colours  euro 2004 2 4 1 offer  get an england flag   3lions tone on ur phone  click on the ,Scam,0.7073,"offer, click, following, message","REWARD, OTHER",2
urgent this is our 2nd attempt to contact u  your  900 prize from yesterday is still awaiting collec,Scam,0.8326,"urgent, claim, prize, collection, contact","URGENCY, OTHER, REWARD",3
urgent please call 09066612661 from landline   5000 cash or a luxury 4  canary islands holiday await,Scam,0.8489,"urgent, award, holiday, 5000, cash","URGENCY, OTHER, IDENTITY, FINANCIAL",4
protect yourself from internet frauds  never respond to any emails that ask for your bank account de,Scam,0.6528,"account, bank, account details, bank account","FINANCIAL, OTHER",2
ree poloclub watch for 500 earlybirds spending rs 2000  on hdfcbank debitcard in a week week starts ,Scam,0.5748,"win, 2000, watch","REWARD, OTHER",2
had your mobile 10 mths  update to the latest camera video phones for free  keep ur same number  get,Scam,0.8796,"free, mins, video, camera","URGENCY, OTHER, IDENTITY",3
ur going 2 bahamas  callfreefone 08081560665 and speak to a live operator to claim either bahamas cr,Scam,0.7659,"claim, bahamas, cash, 2000, live","OTHER, FINANCIAL",2
lemme know when i can swing by and pick up  i m free basically any time after 1 all this semester,Scam,0.7227,"free, time, basically, basically time, pick free","URGENCY, OTHER",2
you have an important customer service announcement  call freephone 0800 542 0825 now,Scam,0.7828,"customer, 0800, customer service, freephone, 0800 542","AUTHORITY, OTHER",2
i wnt to buy a bmw car urgently its vry urgent but hv a shortage of   lt gt  lacs there is no source,Scam,0.7635,"urgent, gt lacs, lacs, car, dis","URGENCY, OTHER",2
hmmm  thk sure got time to hop ard  ya  can go 4 free abt  muz call u to discuss liao,Scam,0.7249,"free, got, time, sure","URGENCY, OTHER",2
refused a loan  secured or unsecured  can t get credit  call free now 0800 195 6669 or text back  he,Scam,0.8117,"free, loan, help, 0800, credit","URGENCY, FINANCIAL, AUTHORITY, OTHER",4
new year special   full talktime  rs444 ke recharge par rs444 ka full talktime  talktime aseemit sam,Scam,0.7691,"talktime, offer, manya, rs444, ke","OTHER, REWARD, CREDENTIAL",3
phony  350 award   todays voda numbers ending xxxx are selected to receive a  350 award  if you have,Scam,0.8438,"award, claim, 350, 350 award, selected","OTHER, REWARD",2
please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you h,Scam,0.8797,"won, prize, 5000, customer, cash","REWARD, OTHER, AUTHORITY, FINANCIAL",4
4mths half price orange line rental   latest camera phones 4 free  had your phone 11mths  call mobil,Scam,0.848,"free, cs, camera, 11mths, latest","URGENCY, OTHER",2
themob yo yo yo here comes a new selection of hot downloads for our members to get for free  just cl,Scam,0.707,"free, click, link, yo, open","URGENCY, OTHER",2
lol they don t know about my awesome phone  i could click delete right now if i want,Scam,0.6675,"click, right, want, phone click",OTHER,1
private  your 2003 account statement for  fone no  shows 800 un redeemed s  i  m  points  call 08715,Scam,0.8494,"account, code, shows, 800, account statement","FINANCIAL, CREDENTIAL, OTHER",3
winner 9933779179 is chosen for  2500 cash prize  call  38977148613 now,Scam,0.7684,"prize, winner, cash, chosen, cash prize","REWARD, FINANCIAL, OTHER",3
loan for any purpose  500    75 000  homeowners   tenants welcome  have you been previously refused ,Scam,0.8326,"free, help, loan, 000, 0800","URGENCY, AUTHORITY, FINANCIAL, OTHER",4
what i told before i tell  stupid hear after i wont tell anything to you  you dad called to my broth,Scam,0.6284,"wont, called, told, spoken",OTHER,1
todays vodafone numbers ending with 0089 my last four digits  are selected to received a  350 award ,Scam,0.8058,"award, claim, 350, 350 award, selected","OTHER, REWARD",2
well done  your 4  costa del sol holiday or  5000 await collection  call 09050090044 now toclaim  sa,Scam,0.7915,"holiday, 5000, collection, await, await collection","IDENTITY, OTHER",2
hey boys  want hot xxx pics sent direct 2 ur phone  txt porn to 69855  24hrs free and then just 50p ,Scam,0.5896,"free, want","URGENCY, OTHER",2
had your contract mobile 11 mnths  latest motorola  nokia etc  all free  double mins   text on orang,Scam,0.782,"free, mins, 11, double, double mins","URGENCY, OTHER",2
urgent  call 09066350750 from your landline  your complimentary 4  ibiza holiday or 10 000 cash awai,Scam,0.8572,"urgent, holiday, cash, cs, 000","URGENCY, IDENTITY, FINANCIAL, OTHER",4
free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or  250 cash every wk  txt pod to 84128 ts ,Scam,0.7863,"free, win, cash, cs, entry","URGENCY, REWARD, FINANCIAL, OTHER",4
congratulations ur awarded either  500 of cd gift vouchers   free entry 2 our  100 weekly draw txt m,Scam,0.8431,"free, gift, entry, awarded, draw","URGENCY, REWARD, OTHER",3
easy ah sen got selected means its good,Scam,0.7067,"selected, easy, got, ah sen","REWARD, OTHER",2
yeah just open chat and click friend lists  then make the list  easy as pie,Scam,0.6415,"click, easy, open",OTHER,1
urgent  important information for 02 user  today is your lucky day  2 find out why   log onto  there,Scam,0.6508,"urgent, 02, urgent important, today, day log","URGENCY, OTHER",2
urgent  we are trying to contact u todays draw shows that you have won a  800 prize guaranteed  call,Scam,0.9051,"urgent, claim, won, prize, shows","URGENCY, OTHER, REWARD",3
rate revsng soon xperience beachside living supertch holiday village xpandabl villas at yamuna xprsw,Scam,0.6332,"holiday, 27, rate, sf","IDENTITY, OTHER",2
ree offer on m facebook com is only till 31 aug 10  with effect from 1 sep 10 you will be charged at,Scam,0.5857,"offer, 10, 31","REWARD, OTHER",2
good evening sir  al salam wahleykkum sharing a happy news by the grace of god  i got an offer from ,Scam,0.5739,"offer, sir","REWARD, OTHER",2
congratulations you ve won  you re a winner in our august  1000 prize draw  call 09066660100 now  pr,Scam,0.8458,"prize, won, winner, 1000, code","REWARD, OTHER, CREDENTIAL",3
about   lt gt  bucks  the banks fees are fixed  better to call the bank and find out,Scam,0.6586,"bank, banks, bucks, banks fees, better bank",OTHER,1
lol they don t know about my awesome phone  i could click delete right now if i want,Scam,0.6675,"click, right, want, phone click",OTHER,1
urgent  please call 09061743811 from landline  your abta complimentary 4  tenerife holiday or  5000 ,Scam,0.8423,"urgent, holiday, 5000, cash, cs","URGENCY, IDENTITY, OTHER, FINANCIAL",4
congratulations ur awarded either  500 of cd gift vouchers   free entry 2 our  100 weekly draw txt m,Scam,0.822,"free, gift, entry, awarded","URGENCY, REWARD, OTHER",3
ola would get back to you maybe not today but i ve told him you can be his direct link in the us in ,Scam,0.6198,"link, money, shipping, online",OTHER,1
do you want a new nokia 3510i colour phone deliveredtomorrow  with 300 free minutes to any mobile   ,Scam,0.8938,"free, camcorder, 08000930705, reply 08000930705","URGENCY, OTHER",2
with placement tie up with top companies  safenet  e y  religare  appin invites you to join 1 year m,Spam,0.566,"companies, placement",OTHER,1
urgent  call 09066612661 from landline  your complementary 4  tenerife holiday or  10 000 cash await,Scam,0.9012,"offer, urgent, holiday, cash, cs","REWARD, URGENCY, IDENTITY, FINANCIAL, OTHER",5
final chance  claim ur  150 worth of discount vouchers today  text yes to 85023 now  savamob  member,Scam,0.8311,"claim, savamob, offers, 16, cs","OTHER, REWARD",2
k do it at evening da urgent,Scam,0.675,"urgent, da urgent, evening","URGENCY, OTHER",2
urgent  your mobile number has been awarded with a  2000 prize guaranteed  call 09061790126 from lan,Scam,0.908,"urgent, claim, prize, awarded, valid","URGENCY, OTHER, REWARD, IDENTITY",4
i take it we didn t have the phone callon friday  can we assume we won t have it this year now,Scam,0.7229,"won, didn, phone","REWARD, OTHER",2
u ve been selected to stay in 1 of 250 top british hotels   for nothing  holiday valued at  350  dia,Scam,0.7982,"claim, selected, holiday, 350, valued","OTHER, REWARD, IDENTITY",3
urgent  we are trying to contact u  todays draw shows that you have won a  2000 prize guaranteed  ca,Scam,0.934,"urgent, claim, won, prize, shows","URGENCY, OTHER, REWARD",3
urgent  call 09066350750 from your landline  your complimentary 4  ibiza holiday or 10 000 cash awai,Scam,0.8572,"urgent, holiday, cash, cs, 000","URGENCY, IDENTITY, FINANCIAL, OTHER",4
update now   xmas offer  latest motorola  sonyericsson   nokia   free bluetooth  double mins   1000 ,Scam,0.8774,"offer, free, mins, 1000, double","REWARD, URGENCY, OTHER",3
this is the 2nd time we have tried to contact u  u have won the  400 prize  2 claim is easy  just ca,Scam,0.8878,"claim, won, prize, easy","OTHER, REWARD",2
you have won  as a valued vodafone customer our computer has picked you to win a  150 prize  to coll,Scam,0.8133,"won, prize, win, customer, easy","REWARD, AUTHORITY, OTHER",3
orange customer  you may now claim your free camera phone upgrade for your loyalty  call now on 0207,Scam,0.8894,"free, offer, claim, customer, camera","URGENCY, REWARD, OTHER, AUTHORITY",4
your 2004 account for 07xxxxxxxxx shows 786 unredeemed points  to claim call 08719181259 identifier ,Scam,0.8055,"claim, account, code, shows, 03","OTHER, FINANCIAL, CREDENTIAL",3
congratulations  thanks to a good friend u have won the  2 000 xmas prize  2 claim is easy  just cal,Scam,0.8431,"claim, won, prize, easy, 000","OTHER, REWARD",2
hiya   have u been paying money into my account  if so  thanks  got a pleasant surprise when i check,Scam,0.6673,"account, money, acc","FINANCIAL, OTHER",2
hey now am free you can call me,Scam,0.8447,free,URGENCY,1
